cID,exclusion_reason,n_primary_studies_pet_outlier_removed,n_primary_studies_random_effect_outlier_removed,k_all_data,k_outlier_removed,n_outliers_removed,k_random_effect_outlier_removed,n_random_effect_outliers_removed,pet_peese_method_all_data,pet_peese_method_outlier_removed,pet_peese_estimate_all_data,pet_peese_estimate_outlier_removed,random_effect_estimate_all_data,random_effect_estimate_outlier_removed,random_effect_between_study_variance_all_data,random_effect_within_study_effect_size_variance_all_data,random_effect_between_study_variance_outlier_removed,random_effect_within_study_effect_size_variance_outlier_removed,random_effect_final_model_warnings
2081-1,NA,10,10,25,25,0,24,1,PET,PET,1.321031466612382,1.321031466612382,-0.20518443870130906,-0.1929792417464971,8.003016290877517e-8,2.3124881227126154e-11,3.698418714082657e-8,2.4438794959049583e-9,
2081-2,NA,12,12,27,26,1,27,0,PET,PEESE,1.4210539365651065,0.9363596612189721,-0.31633027667013935,-0.31633027667013935,0.6219852038411834,8.94533111526335e-8,0.6219852038411834,8.94533111526335e-8,
2081-3,NA,6,6,8,8,0,8,0,PET,PET,-1.8960314428508158,-1.8960314428508158,-0.8959241402952642,-0.8959241402952642,3.2018227569174823e-6,31.809726213390565,3.2018227569174823e-6,31.809726213390565,
2081-4,NA,9,9,15,15,0,15,0,PET,PET,-0.8764135227032481,-0.8764135227032481,0.2723179535925369,0.2723179535925369,0.45922613810930674,2.099128160895599e-8,0.45922613810930674,2.099128160895599e-8,
2110-1,NA,5,5,7,7,0,7,0,PET,PET,-54.23595123971724,-54.23595123971724,-50.386852907279284,-50.386852907279284,0.047479591121997324,404.32221822972417,0.047479591121997324,404.32221822972417,
2127-1,NA,15,15,39,39,0,39,0,PET,PET,0.2663559028061838,0.2663559028061838,0.5395829866946171,0.5395829866946171,0.0202276494037408,2.294971951146662e-8,0.0202276494037408,2.294971951146662e-8,
2127-2,NA,6,6,6,6,0,6,0,PEESE,PEESE,-0.2624555931128591,-0.2624555931128591,6.045423041702413,6.045423041702413,49.02141001746813,0,49.02141001746813,0,
2148-1,NA,38,38,43,42,1,42,1,PET,PET,0.1344989842102651,0.026924430833571336,-0.4945725574767159,-0.3939791789577292,1.2958756769054591,1.516274432092288e-7,0.8052613567889151,1.2753283363120367e-7,
2148-2,NA,35,36,36,35,1,36,0,PET,PET,-0.5933232878714516,-1.0892950489504085,0.13022064020418958,0.13022064020418958,1.1446172938108277,0,1.1446172938108277,0,
2183-1,NA,5,5,8,8,0,8,0,PET,PET,0.05823597552624436,0.05823597552624436,0.07896235717905108,0.07896235717905108,2.8755058102061256e-10,3.5669627099331105e-10,2.8755058102061256e-10,3.5669627099331105e-10,
2183-2,NA,16,16,20,20,0,20,0,PET,PET,0.014025615207695186,0.014025615207695186,0.04493428268184794,0.04493428268184794,7.474323800283956e-9,0.0013401733968015385,7.474323800283956e-9,0.0013401733968015385,
2183-3,NA,7,7,10,10,0,10,0,PET,PET,0.02020485823078003,0.02020485823078003,0.02974991301892487,0.02974991301892487,8.928826701355184e-10,1.6492802108663299e-4,8.928826701355184e-10,1.6492802108663299e-4,
2183-4,NA,9,9,12,12,0,12,0,PET,PET,0.025666637355016206,0.025666637355016206,0.05066575129107933,0.05066575129107933,4.612050604197145e-10,0.0013511742326030108,4.612050604197145e-10,0.0013511742326030108,
2204-1,NA,15,15,55,53,2,53,2,PEESE,PEESE,0.00445406195878003,0.0037339772529898603,0.00462287851646825,0.0038211871765522474,7.616428252979186e-12,1.584750973430222e-5,2.8654309920793458e-12,4.3910191630399e-6,
2204-2,NA,11,11,46,46,0,46,0,PEESE,PEESE,0.0052881774861401245,0.0052881774861401245,0.005777000198960115,0.005777000198960115,1.8369308980782174e-6,5.660752508802399e-6,1.8369308980782174e-6,5.660752508802399e-6,
2204-3,NA,16,16,55,55,0,55,0,PEESE,PEESE,0.013883812217311511,0.013883812217311511,0.014522655673315881,0.014522655673315881,2.4882842477654995e-9,8.306239375473909e-5,2.4882842477654995e-9,8.306239375473909e-5,
227-1,NA,30,31,37,35,2,36,1,PET,PET,0.9395938431766814,0.7455266709639429,0.10904594545153518,0.16455402905498107,5.920479981114385e-7,0.3637437435597478,0.005781449828484414,0.2880478853255043,
227-2,NA,20,20,26,26,0,26,0,PET,PET,-0.06441469331816574,-0.06441469331816574,0.014632073799332122,0.014632073799332122,0.9077908695792145,0.27474918915265784,0.9077908695792145,0.27474918915265784,
227-3,NA,15,15,21,21,0,21,0,PET,PET,-0.21859460792137383,-0.21859460792137383,-0.0012790232905139538,-0.0012790232905139538,0.5195795384346443,0.5204165328932341,0.5195795384346443,0.5204165328932341,
2279-1,NA,12,12,32,31,1,31,1,PEESE,PEESE,1.0148768479420731,1.0148624407260685,1.0150599798577014,1.0149195563215803,8.018732168546564e-10,5.0669638521228995e-9,0,8.398412830365995e-6,
2279-2,NA,11,11,24,24,0,24,0,PEESE,PEESE,1.0989672112976132,1.0989672112976132,1.1049601262119655,1.1049601262119655,0.0039371703427746275,9.555394165851857e-4,0.0039371703427746275,9.555394165851857e-4,
2306-1,NA,47,47,93,91,2,91,2,PET,PEESE,0.020935560584689854,0.5684747357890771,-0.0059860329875206595,-0.01888357089336863,1.093184906846163,2.3941678879552882e-9,0.9935978017843639,1.6791209013279508e-9,
231-1,NA,140,140,1119,1087,32,1087,32,PEESE,PEESE,0.14910765335639023,0.14837778267085902,0.15671103259907346,0.14819647916337356,0.08061463972422696,0.09534506278348946,0.03845353940338928,0.049448910919009104,
231-10,NA,123,123,1027,1001,26,1000,27,PEESE,PEESE,0.15121500559595222,0.1404479515381028,0.16017733539390355,0.1390841377971772,0.07226290341370047,0.0864377978866194,0.028376270350867726,0.041189737239405756,
231-11,NA,72,72,617,603,14,603,14,PEESE,PEESE,0.16633158995574068,0.1405138783389,0.1691056608439522,0.15482028094335606,0.0887353282588715,0.04937683131394447,0.019548671534901224,0.026316198559935604,
231-12,NA,61,61,527,518,9,518,9,PEESE,PEESE,0.1842860723605261,0.1847052576476286,0.17612124237473245,0.17608909090829838,0.033894089080725665,0.1044347381484897,0.030207042056662407,0.06695219528625629,
231-13,NA,112,112,870,848,22,849,21,PEESE,PEESE,0.11055417221817491,0.12788512474339986,0.1214291661804431,0.1271704348855769,0.04307324194726032,0.08464818257866442,0.02886524777588923,0.04424886822986625,
231-14,NA,60,60,510,489,21,490,20,PET,PEESE,0.04707330247954759,0.0721068860042876,0.09788373241682098,0.07309480565225604,0.13748355365539996,0.1526245615287881,0.06106560347869949,0.0713835477348506,
231-15,NA,142,142,1169,1139,30,1139,30,PEESE,PEESE,0.14718742182386674,0.1489547477147781,0.15693345349520316,0.1491101897147944,0.0726040450094416,0.0827472334616452,0.030238718526881793,0.04618264334591014,
231-2,NA,72,72,678,661,17,661,17,PEESE,PEESE,0.15835347323253648,0.14433039384148363,0.15254544614353116,0.14111083558509221,0.044168973936039004,0.09301006804479643,0.031675610138250404,0.0470408239626764,
231-3,NA,63,63,523,504,19,504,19,PEESE,PEESE,0.13333833343751206,0.12393497542990761,0.14417809749199242,0.12341420020775763,0.0966775006162662,0.09413975305465093,0.03253399800280944,0.03286358320250447,
231-4,NA,49,49,395,383,12,383,12,PEESE,PEESE,0.18293597853670346,0.15387744343810902,0.1767517501127961,0.1586408166755955,0.1324669701885,0.09444361098783877,0.05376592982258359,0.04307500948044273,
231-5,NA,108,108,868,839,29,840,28,PEESE,PEESE,0.12939683907518068,0.12630227910087827,0.1379579997398971,0.12513768200616132,0.10089546173115801,0.11852518152812203,0.0553985655503471,0.054648946987324865,
231-6,NA,33,33,313,305,8,305,8,PEESE,PEESE,0.12318928506390714,0.11267932198287231,0.13842444909593302,0.11350727169006627,0.009862804576951005,0.07186059485160075,0.004884211083526899,0.033011164050088096,
